,0,1,2,3,4,5,6,7,8,9,10,11,12
39,40.0,14486.0,-12686.0,30.72,9627.0,-1789.0,9791.815,0.00010212611247250892,19255.617,0.509,131.19,0.06,0.51
40,41.0,14432.0,-12964.0,30.75,8739.0,-1525.0,8871.062,0.00011272607496148714,19399.689,0.457,131.91,-0.26,0.38
41,42.0,14711.0,-12666.0,30.72,8403.0,-1241.0,8494.144,0.00011772816660513408,19412.395,0.438,130.7,0.25,0.36
42,43.0,14947.0,-12357.0,30.75,8082.0,-932.0,8135.561,0.0001229171534698099,19393.511,0.419,129.56,0.41,-0.07
43,44.0,15247.0,-11994.0,30.75,7754.0,-742.0,7789.421,0.0001283792466731481,19399.151,0.402,128.16,-0.0,-0.4
44,45.0,15443.0,-11659.0,30.78,7445.0,-376.0,7454.489,0.00013414735738425532,19349.897,0.385,127.02,-0.35,-0.16
45,46.0,15761.0,-11246.0,30.78,6943.0,-304.0,6949.652,0.00014389209704313252,19361.86,0.359,125.48,-0.16,0.32
46,47.0,15960.0,-10877.0,30.78,6734.0,-149.0,6735.648,0.00014846381521124618,19314.003,0.349,124.25,0.24,0.25
47,48.0,16208.0,-10505.0,30.75,6385.0,15.0,6385.018,0.00015661662974168593,19314.613,0.331,122.92,0.29,-0.17
48,49.0,16381.0,-10138.0,30.81,5978.0,183.0,5980.8,0.00016720171214553236,19264.377,0.31,121.72,-0.05,-0.31
49,50.0,16127.0,-10052.0,30.75,5592.0,68.0,5592.413,0.0001788136891892641,19003.232,0.294,121.91,0.01,-0.29
50,51.0,16777.0,-9342.0,30.81,5232.0,335.0,5242.714,0.00019074090251728398,19202.622,0.273,119.08,-0.09,0.26
51,52.0,17004.0,-8981.0,30.78,4930.0,458.0,4951.229,0.0002019700563233896,19230.038,0.257,117.81,0.21,0.15
52,53.0,17158.0,-8582.0,30.75,3972.0,460.0,3998.548,0.0002500907829542124,19184.569,0.208,116.54,0.17,-0.12
53,54.0,17361.0,-8192.0,30.78,3560.0,507.0,3595.921,0.0002780928724518698,19196.697,0.187,115.23,-0.07,-0.17
54,55.0,17535.0,-7808.0,30.81,2283.0,351.0,2309.825,0.00043293323087246875,19194.819,0.12,113.97,-0.12,0.01
55,56.0,17706.0,-7409.0,30.78,2001.0,361.0,2033.303,0.0004918106155354121,19193.637,0.106,112.67,-0.02,0.1
56,57.0,17876.0,-7013.0,30.81,1286.0,266.0,1313.222,0.0007614858721526139,19202.436,0.068,111.39,0.06,0.03
57,58.0,17959.0,-6583.0,30.78,1153.0,257.0,1181.295,0.0008465285978523569,19127.508,0.062,110.1,0.04,-0.04
58,59.0,18086.0,-6193.0,30.91,1003.0,255.0,1034.908,0.0009662694654983825,19116.92,0.054,108.87,-0.02,-0.05
